Zeit;pv
13.02. 09:00;22,464
13.02. 10:00;32,148
13.02. 11:00;41,819
13.02. 12:00;38,39
13.02. 13:00;44,662
13.02. 14:00;40,508
13.02. 15:00;45,592
13.02. 16:00;24,18
13.02. 17:00;0
13.02. 18:00;0
13.02. 19:00;0
13.02. 20:00;0
13.02. 21:00;0
13.02. 22:00;0
13.02. 23:00;0
14.02. 00:00;0
14.02. 01:00;0
14.02. 02:00;0
14.02. 03:00;0
14.02. 04:00;0
14.02. 05:00;0
14.02. 06:00;0
14.02. 07:00;1,5533
14.02. 08:00;29,891
14.02. 09:00;72,208
14.02. 10:00;56,869
14.02. 11:00;33,651
14.02. 12:00;28,765
14.02. 13:00;25,036
14.02. 14:00;22,035
14.02. 15:00;23,506
14.02. 16:00;7,0578
14.02. 17:00;0
14.02. 18:00;0
14.02. 19:00;0
14.02. 20:00;0
14.02. 21:00;0
14.02. 22:00;0
14.02. 23:00;0
15.02. 00:00;0
15.02. 01:00;0
15.02. 02:00;0
15.02. 03:00;0
15.02. 04:00;0
15.02. 05:00;0
15.02. 06:00;0
15.02. 07:00;1,8837
15.02. 08:00;28,264
15.02. 09:00;55,089
15.02. 10:00;91,896
15.02. 11:00;119,28
15.02. 12:00;124,45
15.02. 13:00;113,22
15.02. 14:00;84,457
15.02. 15:00;40,363
15.02. 16:00;10,028
15.02. 17:00;0
15.02. 18:00;0
15.02. 19:00;0
15.02. 20:00;0
15.02. 21:00;0
15.02. 22:00;0
15.02. 23:00;0
16.02. 00:00;0
16.02. 01:00;0
16.02. 02:00;0
16.02. 03:00;0
16.02. 04:00;0
16.02. 05:00;0
16.02. 06:00;0
16.02. 07:00;0
16.02. 08:00;4,5123
16.02. 09:00;8,7681
16.02. 10:00;20,143
16.02. 11:00;34,996
16.02. 12:00;40,223
16.02. 13:00;35,279
16.02. 14:00;15,617
16.02. 15:00;29,583
16.02. 16:00;13,175
16.02. 17:00;0
16.02. 18:00;0
16.02. 19:00;0
16.02. 20:00;0
16.02. 21:00;0
16.02. 22:00;0
16.02. 23:00;0
17.02. 00:00;0
17.02. 01:00;0
17.02. 02:00;0
17.02. 03:00;0
17.02. 04:00;0
17.02. 05:00;0
17.02. 06:00;0
17.02. 07:00;1,5471
17.02. 08:00;28,2
17.02. 09:00;45,993
17.02. 10:00;68,424
17.02. 11:00;68,07
17.02. 12:00;36,656
17.02. 13:00;33,265
17.02. 14:00;72,338
17.02. 15:00;75,886
17.02. 16:00;27,46
17.02. 17:00;0
17.02. 18:00;0
17.02. 19:00;0
17.02. 20:00;0
17.02. 21:00;0
17.02. 22:00;0
17.02. 23:00;0
18.02. 00:00;0
18.02. 01:00;0
18.02. 02:00;0
18.02. 03:00;0
18.02. 04:00;0
18.02. 05:00;0
18.02. 06:00;0
18.02. 07:00;5,2584
18.02. 08:00;44,842
18.02. 09:00;87,179
18.02. 10:00;106,28
18.02. 11:00;119,61
18.02. 12:00;92,759
18.02. 13:00;60,896
18.02. 14:00;72,962
18.02. 15:00;36,328
18.02. 16:00;17,882
18.02. 17:00;0
18.02. 18:00;0
18.02. 19:00;0
18.02. 20:00;0
18.02. 21:00;0
18.02. 22:00;0
18.02. 23:00;0
19.02. 00:00;0
19.02. 01:00;0
19.02. 02:00;0
19.02. 03:00;0
19.02. 04:00;0
19.02. 05:00;0
